carat,cut,color,clarity,depth,table,x,y,z,price,depth_categories
0.71,3,6,3.6,63.8,58.0,5.61,5.58,3.57,1774,0.2
0.31,0,4,2.5,62.2,54.0,4.36,4.38,2.72,609,0.2
0.75,0,0,6.0,62.0,58.0,5.81,5.84,3.61,3152,0.0
0.5,2,2,0.0,59.7,60.0,5.18,5.24,3.11,2219,0.0
0.52,2,4,3.1,62.2,55.0,5.15,5.18,3.21,1659,0.2
0.96,3,2,3.6,63.7,54.0,6.24,6.19,3.96,3871,0.2
0.51,1,3,6.0,60.3,61.0,5.19,5.12,3.11,1312,0.0
1.02,1,3,3.6,62.6,59.0,6.43,6.39,4.01,6087,0.2
0.51,0,4,2.5,61.6,55.0,5.11,5.14,3.16,1877,0.0
0.34,3,1,3.6,57.0,61.0,6.65,4.61,2.64,816,0.2
1.0,1,2,6.0,60.8,59.0,6.45,6.41,3.91,4234,0.0
1.01,1,4,6.0,62.8,58.0,6.38,6.36,4.0,4642,0.2
0.34,0,0,6.0,61.3,57.0,4.5,4.44,2.74,803,0.0
0.4,0,0,6.5,61.3,56.0,4.72,4.77,2.91,622,0.0
0.32,0,0,6.0,61.9,57.0,4.4,4.36,2.71,756,0.0
1.1,1,2,3.6,60.5,57.0,6.7,6.69,4.05,9486,0.0
1.7,2,6,3.6,63.2,58.0,7.56,7.5,4.76,7730,0.2
0.5,2,3,3.1,61.9,59.0,5.06,5.08,3.14,1603,0.0
0.49,1,6,6.5,59.8,59.0,5.14,5.12,3.07,900,0.0
0.33,0,1,2.5,61.9,57.0,4.44,4.47,2.75,917,0.0
0.37,0,3,3.1,61.9,54.0,4.62,4.68,2.88,741,0.0
0.56,0,1,3.6,62.6,57.0,5.26,5.29,3.3,1819,0.2
0.3,2,2,6.0,63.5,59.0,4.22,4.19,2.67,641,0.2
0.71,2,4,3.1,62.7,57.0,5.66,5.72,3.57,2559,0.2
0.34,3,1,6.5,63.7,55.0,4.43,4.46,2.83,477,0.2
0.35,0,4,6.5,60.3,55.0,4.61,4.65,2.79,474,0.0
0.9,3,3,6.0,63.7,60.0,6.07,6.11,3.88,3734,0.2
1.01,2,4,6.0,63.1,59.0,6.36,6.32,4.0,4836,0.2
0.57,1,0,3.6,60.8,59.0,5.38,5.34,3.26,2019,0.0
1.21,1,5,6.0,61.0,56.0,6.91,6.87,4.2,4404,0.0
0.9,0,3,6.0,61.9,55.0,6.18,6.23,3.84,4161,0.0
0.71,0,0,6.0,63.0,55.0,5.64,5.57,3.53,2694,0.2
0.35,0,0,3.6,60.7,56.0,4.56,4.6,2.78,829,0.0
0.7,2,2,6.5,63.4,58.0,5.62,5.58,3.55,1883,0.2
0.3,2,3,3.6,63.1,56.0,4.28,4.25,2.69,675,0.2
0.7,1,3,6.5,61.8,61.0,5.66,5.63,3.49,2056,0.0
0.54,1,3,3.6,58.7,62.0,5.36,5.34,3.14,1637,0.2
1.57,2,6,3.6,60.2,59.0,7.53,7.61,4.56,7832,0.0
0.35,1,4,6.5,62.0,58.0,4.47,4.5,2.78,429,0.0
0.8,0,4,0.0,62.4,54.0,5.93,5.99,3.72,3972,0.2
0.5,1,1,3.6,61.8,58.0,5.09,5.07,3.14,1746,0.0
0.92,2,2,6.5,62.8,56.0,6.19,6.23,3.9,3873,0.2
0.3,1,0,6.5,62.4,59.0,4.28,4.25,2.66,574,0.2
0.7,0,3,6.0,61.6,55.0,5.71,5.76,3.53,3145,0.0
0.7,2,2,3.6,63.5,56.0,5.64,5.45,3.52,2250,0.2
1.72,1,4,6.0,62.4,62.0,7.63,7.52,4.73,12696,0.2
1.09,2,3,3.1,62.5,58.0,6.49,6.59,4.09,7378,0.2
1.09,0,3,2.5,61.5,57.0,6.62,6.65,4.08,8970,0.0
1.21,0,5,6.0,60.6,55.0,6.92,6.87,4.18,5556,0.0
1.09,0,5,3.6,61.9,56.0,6.62,6.67,4.09,5421,0.0
0.4,0,2,2.0,61.7,56.0,4.72,4.75,2.92,1263,0.0
0.3,1,4,3.6,62.5,59.0,4.28,4.23,2.66,608,0.2
0.7,2,3,6.0,63.3,57.0,5.58,5.63,3.55,2088,0.2
1.5,3,1,6.5,63.9,58.0,7.26,7.21,4.62,9072,0.2
1.62,1,5,3.1,61.7,59.0,7.55,7.47,4.63,10362,0.0
0.91,2,5,6.5,62.8,61.0,6.15,6.18,3.87,2832,0.2
0.76,0,2,6.0,60.1,57.0,5.95,5.99,3.59,2607,0.0
0.7,2,3,6.5,63.2,57.0,5.66,5.59,3.55,1715,0.2
0.52,3,2,3.6,63.6,56.0,5.12,5.07,3.24,1605,0.2
2.0,3,2,6.0,62.8,62.0,8.0,8.03,5.03,18069,0.2
0.7,2,5,10.0,63.2,59.0,5.62,5.59,3.54,1235,0.2
1.56,3,5,6.5,58.5,61.0,7.58,7.63,4.45,8048,0.2
0.31,2,3,3.1,62.4,59.0,4.32,4.34,2.7,625,0.2
1.13,1,3,2.0,59.3,59.0,6.87,6.79,4.05,8868,0.0
0.72,3,2,6.0,63.9,62.0,5.7,5.63,3.62,2229,0.2
1.22,4,3,6.5,64.7,61.0,6.75,6.68,4.34,3763,0.2
0.3,1,1,6.5,61.5,62.0,4.31,4.28,2.64,468,0.0
0.28,1,1,2.5,60.1,59.0,4.26,4.22,2.55,828,0.0
0.9,3,4,6.5,61.3,61.0,6.11,6.16,3.76,3348,0.0
0.5,3,5,3.6,64.6,59.0,4.9,4.95,3.18,987,0.2
0.73,0,1,6.5,61.3,54.0,5.8,5.88,3.58,2431,0.0
1.02,0,3,2.5,62.7,57.0,6.41,6.45,4.03,8401,0.2
0.54,0,4,2.5,61.6,56.0,5.24,5.27,3.24,1639,0.0
0.3,2,6,3.6,61.6,61.0,4.28,4.33,2.65,368,0.0
0.33,1,3,2.5,61.7,59.0,4.39,4.42,2.72,752,0.0
0.42,1,2,6.0,60.0,59.0,4.88,4.85,2.92,992,0.0
0.7,2,1,3.6,62.6,60.0,5.62,5.65,3.53,2765,0.2
0.52,0,5,6.0,61.8,56.0,5.15,5.18,3.19,1075,0.0
0.56,0,4,2.0,60.8,57.0,5.3,5.35,3.24,1929,0.0
1.52,0,0,3.1,61.2,57.0,7.4,7.46,4.55,17659,0.0
0.92,0,3,3.6,62.0,57.0,6.21,6.24,3.86,5989,0.0
0.31,0,4,2.0,62.3,53.0,4.35,4.38,2.72,687,0.2
1.03,3,2,6.5,61.7,63.0,6.46,6.51,4.0,4101,0.0
0.32,0,3,0.0,62.2,53.0,4.41,4.43,2.75,918,0.2
0.33,0,2,3.6,62.3,56.0,4.43,4.46,2.77,666,0.2
1.52,2,6,3.6,63.1,61.0,7.23,7.19,4.55,7109,0.2
0.75,0,4,2.5,62.0,55.1,5.83,5.85,3.62,2992,0.0
0.71,2,3,6.0,63.1,60.0,5.6,5.69,3.56,2240,0.2
1.01,4,2,6.5,66.7,64.0,6.14,6.05,4.06,3597,0.2
2.04,0,2,6.5,62.4,56.0,8.07,8.14,5.06,17049,0.2
2.05,2,5,6.5,59.8,56.0,8.32,8.41,5.0,12839,0.0
0.31,0,3,3.1,62.1,55.0,4.33,4.37,2.7,625,0.2
0.56,0,0,3.6,60.9,56.0,5.31,5.36,3.25,1963,0.0
0.55,1,1,3.6,61.1,58.0,5.3,5.28,3.23,2030,0.0
0.7,4,0,6.5,64.5,60.0,5.53,5.47,3.55,2167,0.2
0.3,3,4,3.1,63.3,57.0,4.22,4.25,2.68,526,0.2
0.31,2,3,2.0,59.8,62.0,4.35,4.41,2.62,761,0.0
1.01,1,2,6.0,59.1,59.0,6.56,6.5,3.86,4989,0.0
1.37,1,1,3.1,59.4,60.0,7.27,7.2,4.3,12713,0.0
0.41,0,3,2.5,61.0,57.0,4.8,4.78,2.92,1076,0.0
0.81,2,1,6.5,62.9,56.0,5.87,5.9,3.7,3059,0.2
0.33,0,4,3.1,61.9,56.0,4.44,4.48,2.76,579,0.0
0.51,0,1,3.6,61.4,57.0,5.16,5.13,3.16,1781,0.0
1.52,1,2,3.1,61.0,58.0,7.42,7.39,4.52,15522,0.0
0.69,0,3,6.5,62.7,54.0,5.71,5.64,3.56,1711,0.2
0.7,0,1,3.6,61.4,57.0,5.72,5.78,3.53,2274,0.0
0.56,0,3,6.0,62.5,56.0,5.28,5.21,3.28,1441,0.2
0.73,0,3,3.1,61.7,56.0,5.76,5.79,3.56,3525,0.0
1.67,0,4,3.1,61.8,56.0,7.6,7.57,4.69,14014,0.0
0.31,0,0,2.5,61.5,56.0,4.39,4.43,2.71,828,0.0
0.9,2,3,6.5,61.4,58.0,6.16,6.21,3.8,3489,0.0
0.45,3,3,3.1,58.1,61.2,5.02,5.07,2.93,1154,0.2
1.27,0,3,0.0,61.5,58.0,6.95,6.99,4.29,11157,0.0
0.77,2,3,3.1,60.9,55.0,5.9,5.96,3.61,3243,0.0
0.21,1,0,3.6,59.1,62.0,3.89,3.86,2.29,386,0.0
0.71,0,1,3.1,60.4,56.0,5.8,5.85,3.52,3238,0.0
0.84,2,3,3.6,61.8,57.0,6.04,6.07,3.74,3596,0.0
2.28,1,4,6.5,62.5,58.0,8.39,8.33,5.23,15413,0.2
0.31,1,2,3.6,62.7,59.0,4.3,4.34,2.71,625,0.2
1.51,1,4,10.0,60.9,56.0,7.38,7.26,4.46,4404,0.0
0.72,0,6,3.1,62.3,55.0,5.77,5.69,3.57,1832,0.2
0.91,2,1,6.0,62.1,60.0,6.21,6.25,3.87,4284,0.2
0.9,4,3,6.5,64.5,56.0,6.06,6.0,3.89,2858,0.2
0.4,2,3,3.1,61.8,58.0,4.69,4.72,2.91,822,0.0
0.51,0,1,3.6,62.0,54.0,5.13,5.1,3.17,1662,0.0
0.7,0,3,3.6,62.9,56.0,5.7,5.65,3.57,2375,0.2
0.9,3,1,6.0,63.9,57.0,6.05,6.1,3.88,4463,0.2
0.53,3,5,6.5,63.6,58.0,5.08,5.11,3.24,942,0.2
0.31,3,1,6.0,63.1,57.0,4.28,4.31,2.71,544,0.2
0.71,2,1,3.6,62.5,58.0,5.69,5.73,3.57,3344,0.2
0.78,2,1,3.1,61.0,55.0,5.94,5.96,3.63,3564,0.0
0.38,0,3,3.6,62.2,56.0,4.64,4.62,2.88,983,0.2
1.52,0,5,2.0,61.9,56.0,7.34,7.37,4.55,10968,0.0
1.22,0,4,6.0,62.1,56.0,6.87,6.81,4.25,6388,0.2
0.38,3,1,2.0,62.4,64.0,4.59,4.61,2.87,904,0.2
1.2,0,0,6.0,61.8,58.0,6.76,6.83,4.2,7508,0.0
0.53,3,1,6.0,57.8,57.0,5.33,5.29,3.07,1328,0.2
1.04,2,6,6.5,63.5,59.0,6.37,6.42,4.06,3810,0.2
0.3,2,0,6.5,63.3,57.0,4.3,4.26,2.71,574,0.2
0.48,1,2,3.6,60.1,59.0,5.12,5.1,3.07,1294,0.0
0.79,0,5,3.6,63.0,58.0,5.85,5.89,3.7,2712,0.2
0.32,3,2,6.5,63.8,55.0,4.34,4.35,2.77,421,0.2
1.0,3,1,3.1,60.0,65.0,6.48,6.43,3.87,7190,0.0
0.55,0,0,6.5,60.9,57.0,5.26,5.29,3.21,1363,0.0
0.9,2,3,6.5,62.0,59.0,6.14,6.19,3.82,3445,0.0
0.51,1,1,6.5,60.7,56.0,5.21,5.17,3.15,1211,0.0
1.38,0,6,6.0,61.8,56.0,7.17,7.14,4.42,6260,0.0
1.21,0,0,6.5,62.0,57.0,6.81,6.83,4.23,6190,0.0
2.5,0,6,6.5,64.0,55.0,8.56,8.48,5.46,14502,0.2
2.0,2,3,6.5,63.5,55.0,8.03,7.93,5.07,15485,0.2
1.0,1,3,10.0,62.5,62.0,6.42,6.35,3.99,2984,0.2
0.38,1,0,2.5,60.8,55.0,4.71,4.67,2.85,1009,0.0
0.42,1,5,6.0,61.2,60.0,4.82,4.78,2.94,803,0.0
0.4,2,1,6.0,63.5,57.0,4.72,4.7,2.99,882,0.2
0.82,2,4,6.0,60.7,56.0,6.04,6.06,3.67,2836,0.0
0.9,2,0,2.5,62.6,59.0,6.11,6.15,3.84,6872,0.2
0.3,1,4,6.0,62.6,58.0,4.28,4.22,2.66,540,0.2
1.04,1,3,3.1,60.2,58.0,6.65,6.64,4.0,6360,0.0
0.31,3,2,3.6,63.9,56.0,4.29,4.32,2.75,625,0.2
1.07,0,5,6.0,62.0,55.0,6.56,6.6,4.08,4958,0.0
0.38,0,0,6.0,61.3,57.0,4.67,4.7,2.87,884,0.0
0.31,0,1,3.6,61.0,56.0,4.38,4.34,2.66,872,0.0
2.07,1,5,3.6,61.2,58.0,8.2,8.18,5.01,18359,0.0
0.41,0,2,3.6,62.3,57.0,4.78,4.75,2.97,1107,0.2
1.31,1,6,6.0,60.7,58.0,7.11,7.06,4.3,4475,0.0
1.54,0,3,6.0,61.5,55.0,7.4,7.45,4.57,11333,0.0
1.21,0,5,3.1,61.7,53.0,6.89,6.92,4.26,7111,0.0
1.01,4,2,3.6,66.1,61.0,6.1,6.04,4.01,4791,0.2
1.17,0,3,6.5,62.0,55.0,6.81,6.74,4.2,5012,0.0
0.74,0,0,2.5,61.4,56.0,5.82,5.87,3.58,5841,0.0
1.02,0,1,6.0,62.2,54.7,6.44,6.47,4.01,5840,0.2
0.31,1,3,3.6,61.7,58.0,4.34,4.32,2.67,698,0.0
0.54,0,2,2.5,61.0,57.0,5.26,5.3,3.22,2109,0.0
1.02,0,2,6.5,62.6,56.0,6.38,6.44,4.01,4851,0.2
0.3,1,4,2.5,62.9,57.0,4.31,4.28,2.7,776,0.2
1.07,0,3,2.5,62.4,54.0,6.51,6.56,4.08,8393,0.2
0.9,3,5,3.6,63.8,55.0,6.16,6.07,3.9,3246,0.2
0.91,1,1,10.0,59.6,59.0,6.32,6.29,3.76,2486,0.0
0.7,0,2,6.0,59.8,55.0,5.83,5.75,3.46,2665,0.0
0.38,0,0,2.5,62.5,53.0,4.63,4.68,2.91,1096,0.2
2.06,3,5,6.0,59.0,64.0,8.39,8.13,4.89,14920,0.0
1.01,1,0,6.0,62.3,60.0,6.4,6.35,3.97,5939,0.2
1.5,3,4,3.6,64.3,60.0,7.16,7.08,4.58,8165,0.2
1.0,1,1,10.0,60.9,61.0,6.41,6.37,3.89,3584,0.0
1.12,0,3,2.5,61.6,55.0,6.68,6.74,4.13,9820,0.0
0.41,2,4,2.0,59.5,58.0,4.82,4.86,2.88,991,0.0
0.7,1,3,6.0,62.8,58.0,5.66,5.62,3.54,2352,0.2
0.3,1,0,6.0,62.1,59.0,4.31,4.29,2.67,662,0.2
0.52,0,1,3.6,62.2,55.0,5.16,5.22,3.23,1571,0.2
0.7,1,1,6.0,61.3,58.0,5.71,5.68,3.49,2777,0.0
0.52,0,2,0.0,61.7,56.0,5.16,5.18,3.19,2393,0.0
1.09,0,1,6.5,61.6,55.0,6.64,6.6,4.08,5127,0.0
0.75,1,3,6.5,58.8,60.0,5.99,5.89,3.49,2070,0.2
1.14,0,6,6.0,60.2,57.0,6.81,6.71,4.07,3045,0.0
0.31,0,4,0.0,61.8,57.0,4.32,4.35,2.68,789,0.0
0.51,2,2,3.1,60.0,59.0,5.18,5.22,3.12,1680,0.0
0.91,1,1,6.5,62.8,61.0,6.09,6.07,3.82,3639,0.2
0.56,0,1,6.0,62.3,56.0,5.3,5.26,3.29,1698,0.2
0.52,0,1,3.6,61.0,55.0,5.2,5.26,3.19,1651,0.0
0.25,2,1,2.5,63.2,59.0,3.98,4.0,2.52,548,0.2
1.21,1,2,3.6,61.5,57.0,6.81,6.74,4.17,8877,0.0
0.9,0,5,3.1,61.8,56.0,6.2,6.23,3.84,3724,0.0
1.37,1,6,3.1,60.0,62.0,7.24,7.21,4.33,5370,0.0
0.71,3,3,3.6,63.5,59.0,5.63,5.67,3.59,2029,0.2
0.61,2,2,6.5,62.9,56.6,5.38,5.45,3.4,1437,0.2
0.3,1,1,3.1,61.8,58.0,4.31,4.33,2.67,710,0.0
0.86,0,5,2.5,61.4,58.0,6.07,6.1,3.74,3544,0.0
0.8,0,3,3.6,61.2,57.0,6.02,6.07,3.7,2969,0.0
1.2,1,3,10.0,60.3,58.0,6.82,6.77,4.1,3091,0.0
0.3,0,3,3.1,61.7,57.0,4.3,4.32,2.66,605,0.0
0.42,0,1,2.5,61.8,56.0,4.8,4.78,2.96,1273,0.0
0.3,1,3,2.5,61.9,59.0,4.28,4.25,2.64,878,0.0
0.37,1,5,2.0,61.6,59.0,4.62,4.66,2.86,681,0.0
1.0,1,4,6.5,61.0,57.0,6.51,6.4,3.94,4032,0.0
0.78,0,5,3.1,60.7,56.0,5.97,6.03,3.64,3105,0.0
0.58,0,0,6.5,60.9,56.0,5.4,5.44,3.3,1607,0.0
0.81,0,0,6.0,61.5,57.0,6.0,6.03,3.7,2748,0.0
1.31,1,4,3.6,62.5,58.0,6.97,6.94,4.35,7277,0.2
0.41,0,4,2.5,62.0,56.0,4.78,4.74,2.95,961,0.0
1.18,0,3,3.1,61.3,56.0,6.81,6.83,4.17,8414,0.0
0.31,1,3,3.1,62.8,58.0,4.3,4.27,2.69,802,0.2
1.51,1,2,3.6,62.0,60.0,7.35,7.23,4.52,14294,0.0
0.91,2,2,6.5,62.5,58.0,6.1,6.16,3.83,4334,0.2
1.07,1,4,3.6,62.4,57.0,6.58,6.52,4.09,5573,0.2
0.3,1,0,3.6,60.9,58.0,4.32,4.35,2.64,710,0.0
0.56,1,0,6.0,62.3,58.0,5.28,5.21,3.27,1865,0.2
0.3,1,5,3.1,61.7,58.0,4.32,4.27,2.65,608,0.0
1.07,0,3,6.0,60.2,57.0,6.7,6.59,4.0,5453,0.0
1.21,0,1,3.6,62.4,54.0,6.86,6.8,4.26,9215,0.2
0.32,0,3,3.1,61.6,56.0,4.38,4.42,2.71,645,0.0
0.3,1,1,2.5,61.4,60.0,4.28,4.25,2.62,1013,0.0
0.35,2,1,3.1,59.9,59.9,4.54,4.59,2.73,885,0.0
1.3,1,3,3.6,60.9,60.0,7.04,6.99,4.27,9216,0.0
1.0,1,1,6.5,59.9,55.0,6.48,6.4,3.86,3612,0.0
0.5,3,0,6.5,58.5,64.0,5.2,5.12,3.02,1015,0.2
2.04,2,4,6.0,63.0,58.0,8.03,8.1,5.08,17952,0.2
0.4,2,2,2.5,60.5,57.0,4.76,4.79,2.89,1012,0.0
0.31,0,5,6.0,61.3,55.0,4.39,4.42,2.7,395,0.0
1.2,2,4,10.0,58.6,57.0,6.96,7.01,4.09,3696,0.2
0.35,1,1,2.0,63.0,59.0,4.48,4.44,2.81,1071,0.2
1.26,2,5,6.0,61.9,58.0,6.97,6.92,4.3,6318,0.0
0.7,0,6,3.6,62.4,55.0,5.68,5.7,3.55,1874,0.2
0.33,0,6,3.1,61.9,54.3,4.45,4.47,2.76,456,0.0
1.4,1,4,6.0,62.4,57.0,7.19,7.11,4.46,8223,0.2
0.75,2,1,6.0,63.6,56.0,5.73,5.75,3.65,2993,0.2
0.91,0,3,3.6,62.3,57.0,6.18,6.24,3.87,4257,0.2
1.0,3,4,3.6,63.8,59.0,6.28,6.26,4.0,4028,0.2
0.35,2,0,3.1,63.9,55.0,4.49,4.53,2.88,792,0.2
0.85,0,5,6.0,61.4,56.0,6.06,6.12,3.74,3392,0.0
0.51,1,3,2.0,60.1,56.0,5.35,5.16,3.16,2111,0.0
0.41,3,6,3.6,64.3,55.0,4.7,4.66,3.01,784,0.2
0.3,0,1,6.0,61.4,56.0,4.36,4.33,2.67,720,0.0
0.32,0,1,3.6,62.8,54.0,4.38,4.35,2.74,900,0.2
0.72,0,1,3.1,62.1,54.0,5.74,5.76,3.57,3690,0.2
1.06,2,2,6.5,62.6,60.0,6.54,6.44,4.06,4634,0.2
1.21,2,4,6.0,62.4,58.0,6.83,6.79,4.25,5826,0.2
2.08,0,1,6.5,60.2,60.0,8.28,8.32,5.0,18128,0.0
0.76,0,1,2.0,62.2,55.0,5.86,5.82,3.63,5056,0.2
1.01,3,3,6.0,63.5,64.0,6.41,6.28,4.03,4538,0.2
2.47,1,6,6.5,59.4,59.0,8.85,8.79,5.24,16532,0.0
0.5,0,0,6.0,62.7,57.0,5.06,5.08,3.18,1272,0.2
0.31,0,0,3.6,62.2,56.0,4.33,4.32,2.69,942,0.2
0.34,2,2,6.5,61.7,61.0,4.44,4.48,2.75,447,0.0
0.7,2,2,3.1,62.8,56.0,5.64,5.66,3.55,3265,0.2
0.72,0,5,3.1,60.4,56.0,5.8,5.86,3.52,3005,0.0
0.71,2,1,3.6,62.7,59.0,5.65,5.7,3.56,2830,0.2
0.33,0,4,2.5,61.9,55.0,4.47,4.45,2.76,854,0.0
1.0,2,3,3.1,62.4,60.0,6.37,6.39,3.98,6263,0.2
1.09,0,3,6.5,62.1,56.0,6.66,6.59,4.12,4670,0.2
0.31,1,4,2.5,62.4,58.0,4.31,4.28,2.68,802,0.2
0.41,2,1,6.0,63.1,57.0,4.78,4.73,3.0,904,0.2
1.53,0,3,6.0,61.3,57.0,7.42,7.32,4.52,8529,0.0
0.4,0,2,6.0,62.0,54.0,4.76,4.79,2.96,694,0.0
0.34,1,4,3.6,59.0,59.0,4.55,4.61,2.7,537,0.0
0.32,0,1,3.1,61.0,57.0,4.4,4.42,2.69,898,0.0
0.32,2,0,0.0,62.0,56.0,4.39,4.43,2.73,1171,0.0
0.9,2,4,2.5,62.4,58.0,6.12,6.15,3.83,4740,0.2
0.71,0,0,6.0,60.8,56.0,5.8,5.77,3.52,2863,0.0
0.7,2,0,3.1,62.8,59.0,5.63,5.68,3.55,3247,0.2
1.0,1,0,6.0,61.5,60.0,6.34,6.38,3.91,5390,0.0
1.02,0,3,3.1,62.4,57.0,6.41,6.43,4.01,7440,0.2
0.77,1,2,3.1,62.1,60.0,5.82,5.77,3.6,3343,0.2
0.32,0,1,3.6,60.8,55.0,4.42,4.49,2.71,702,0.0
1.1,1,1,2.5,60.1,58.0,6.69,6.76,4.04,10387,0.0
1.25,1,1,6.0,60.9,59.0,6.98,7.02,4.26,7260,0.0
0.38,1,1,3.6,61.8,58.0,4.64,4.61,2.86,1112,0.0
0.91,1,0,6.5,61.2,58.0,6.21,6.25,3.81,3958,0.0
1.71,0,4,3.6,63.0,57.0,7.57,7.53,4.76,10534,0.2
0.7,2,1,6.5,60.4,59.0,5.7,5.75,3.46,2453,0.0
1.32,2,4,6.5,63.0,59.0,6.91,6.99,4.38,6085,0.2
0.33,0,1,3.6,61.8,55.0,4.48,4.45,2.76,928,0.0
0.9,0,0,6.5,60.8,56.0,6.24,6.26,3.8,4241,0.0
0.38,2,0,6.0,62.0,55.0,4.67,4.72,2.91,586,0.0
1.22,1,3,3.6,61.2,58.0,6.91,6.81,4.2,7870,0.0
0.42,0,2,3.1,61.6,56.0,4.82,4.8,2.96,1082,0.0
0.82,2,3,6.0,63.1,52.0,6.02,5.97,3.78,2716,0.2
2.0,1,1,6.5,60.3,58.0,8.15,8.08,4.89,12987,0.0
0.7,0,5,3.6,62.1,54.6,5.68,5.72,3.54,2240,0.2
1.42,0,5,3.6,60.4,55.0,7.28,7.38,4.43,8173,0.0
2.04,0,5,6.5,62.8,57.0,8.11,8.07,5.08,10282,0.2
0.72,2,1,6.5,62.2,59.0,5.72,5.79,3.58,2401,0.2
0.57,2,3,3.1,61.0,55.0,5.36,5.43,3.28,1817,0.0
1.01,0,1,10.0,62.0,57.0,6.37,6.41,3.96,3388,0.0
0.4,0,3,3.1,62.4,57.0,4.72,4.74,2.95,877,0.2
0.53,0,2,3.1,60.4,57.0,5.25,5.22,3.16,1818,0.0
0.38,1,6,6.0,61.3,59.0,4.68,4.62,2.85,658,0.0
0.9,1,2,6.5,61.5,59.0,6.2,6.23,3.82,3770,0.0
0.72,0,2,6.0,61.8,57.0,5.68,5.74,3.53,2440,0.0
1.2,2,5,6.0,62.6,59.0,6.75,6.71,4.21,5522,0.2
1.01,1,4,6.0,62.9,58.0,6.38,6.34,4.0,3224,0.2
1.0,0,1,3.6,61.7,54.0,6.41,6.46,3.97,6859,0.0
0.3,1,4,3.1,63.0,58.0,4.28,4.23,2.68,675,0.2
0.32,0,1,3.6,61.9,56.0,4.4,4.35,2.71,900,0.0
0.41,0,1,2.5,60.5,57.0,4.83,4.86,2.93,1363,0.0
0.32,1,3,2.5,60.2,60.0,4.45,4.42,2.67,936,0.0
1.04,0,1,6.5,62.0,55.0,6.48,6.51,4.03,4804,0.0
0.71,2,3,3.6,61.8,56.0,5.69,5.74,3.53,2647,0.0
0.59,2,3,6.0,63.0,57.0,5.35,5.38,3.38,1412,0.2
0.51,0,2,3.1,61.7,54.0,5.14,5.17,3.18,1744,0.0
1.11,1,2,3.6,61.9,58.0,6.7,6.64,4.13,7371,0.0
2.0,4,4,6.5,65.3,55.0,7.88,7.79,5.12,10752,0.2
0.3,1,1,3.6,62.1,58.0,4.31,4.29,2.67,844,0.2
0.3,1,2,3.6,62.8,58.0,4.29,4.24,2.68,776,0.2
1.06,2,4,6.5,62.6,58.0,6.46,6.52,4.06,3958,0.2
1.04,0,4,3.6,59.3,57.0,6.64,6.58,3.92,5416,0.0
0.5,1,3,2.0,62.3,59.0,5.04,5.01,3.13,2070,0.2
0.76,1,1,6.0,61.6,59.0,5.83,5.79,3.58,2644,0.0
0.54,0,2,6.0,61.6,55.0,5.24,5.28,3.24,1385,0.0
0.36,0,0,3.6,60.0,56.0,4.66,4.68,2.8,727,0.0
2.02,1,4,6.5,61.5,58.0,8.14,8.1,4.99,17166,0.0
0.71,0,0,6.5,61.6,56.0,5.78,5.82,3.57,2690,0.0
2.03,2,5,6.5,62.2,54.0,8.11,8.15,5.06,14239,0.2
0.38,0,1,2.5,61.6,55.0,4.63,4.66,2.86,1100,0.0
1.01,2,1,6.5,63.4,58.0,6.43,6.34,4.05,3801,0.2
1.52,1,1,6.0,60.2,58.0,7.44,7.37,4.46,10180,0.0
0.72,0,2,3.1,61.4,56.0,5.75,5.79,3.54,3759,0.0
0.56,0,2,2.5,60.3,56.0,5.39,5.35,3.24,2318,0.0
0.71,1,1,6.0,59.1,60.0,5.87,5.84,3.46,2441,0.0
0.31,0,3,0.0,62.0,54.0,4.35,4.39,2.71,801,0.0
0.31,3,1,6.0,63.4,57.0,4.31,4.33,2.74,544,0.2
0.31,2,1,2.0,61.2,58.0,4.35,4.38,2.67,890,0.0
1.02,1,3,6.0,60.7,60.0,6.51,6.48,3.94,4855,0.0
1.52,1,4,2.5,63.0,60.0,7.3,7.25,4.58,12013,0.2
2.08,2,6,3.6,60.6,61.0,8.24,8.34,5.02,13732,0.0
0.52,0,0,3.6,62.3,54.0,5.14,5.19,3.22,1822,0.2
0.52,1,1,3.1,61.6,58.0,5.14,5.18,3.18,1668,0.0
0.5,3,1,2.0,58.3,62.0,5.16,5.23,3.03,2008,0.2
0.41,0,0,3.1,62.6,55.0,4.75,4.77,2.98,1019,0.2
1.25,0,6,6.0,62.4,57.0,6.86,6.92,4.3,5252,0.2
0.85,4,5,6.0,65.8,65.0,5.88,5.79,3.84,2493,0.2
0.39,1,2,3.1,61.7,58.0,4.71,4.69,2.9,956,0.0
0.4,1,3,3.1,61.3,60.0,4.71,4.66,2.87,1125,0.0
1.5,1,4,3.6,62.1,59.0,7.26,7.2,4.49,9253,0.2
0.3,2,4,2.5,62.0,56.0,4.28,4.3,2.66,559,0.0
0.55,0,4,0.0,61.5,55.0,5.25,5.29,3.25,2120,0.0
1.5,1,5,2.5,61.4,58.0,7.38,7.32,4.51,11007,0.0
0.62,0,0,3.6,61.2,56.0,5.49,5.52,3.37,2243,0.0
1.34,0,4,6.0,62.4,54.0,7.05,7.08,4.41,7659,0.2
2.16,0,6,3.1,61.4,55.0,8.34,8.27,5.1,18462,0.0
1.64,1,5,6.5,61.3,58.0,7.62,7.58,4.66,8743,0.0
